TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,DAY_TYPE,MISSING_DATA,POLYLINE
1372636858620000589,C,,,20000589,1372636858,A,False,"[[-8.618643, 41.141412]]"
1372637303620000596,B,,7.0,20000596,1372637303,A,False,"[[-8.639847, 41.159826], [-8.660178, 41.163192]]"
1372636951620000320,C,,,20000320,1372636951,A,False,"[[-8.612964, 41.140359], [-8.632584, 41.147316], [-8.599383, 41.141736], [-8.65008, 41.154291], [-8.631513, 41.146146]]"
1372636854620000520,C,,,20000520,1372636854,A,False,"[[-8.574678, 41.151951], [-8.610849, 41.145876], [-8.586027, 41.148702], [-8.605854, 41.142555]]"
1372637091620000337,C,,,20000337,1372637091,A,False,"[[-8.645994, 41.18049], [-8.667432, 41.178537], [-8.688105, 41.17365]]"
1372636965620000231,C,,,20000231,1372636965,A,False,"[[-8.615502, 41.140674], [-8.592993, 41.140008], [-8.580546, 41.155947]]"
1372637210620000456,C,,,20000456,1372637210,A,False,"[[-8.57952, 41.145948], [-8.600688, 41.148585]]"
1372637299620000011,C,,,20000011,1372637299,A,False,"[[-8.617563, 41.146182]]"
1372637274620000403,C,,,20000403,1372637274,A,False,"[[-8.611794, 41.140557], [-8.596161, 41.153679]]"
1372637905620000320,C,,,20000320,1372637905,A,False,"[[-8.615907, 41.140557]]"
1372636875620000233,C,,,20000233,1372636875,A,False,"[[-8.619894, 41.148009]]"
1372637984620000520,C,,,20000520,1372637984,A,False,"[[-8.56242, 41.168403], [-8.58222, 41.164452], [-8.603532, 41.161788]]"
1372637343620000571,A,31508.0,,20000571,1372637343,A,False,"[[-8.618868, 41.155101], [-8.60445, 41.171112], [-8.583624, 41.166252]]"
1372638595620000233,C,,,20000233,1372638595,A,False,"[[-8.608716, 41.153499], [-8.625042, 41.166513]]"
1372638151620000231,C,,,20000231,1372638151,A,False,"[[-8.612208, 41.14053]]"
1372637610620000497,B,,13.0,20000497,1372637610,A,False,"[[-8.585145, 41.164857], [-8.627931, 41.157954], [-8.606169, 41.172093], [-8.642412, 41.170365]]"
1372638481620000403,B,,28.0,20000403,1372638481,A,False,"[[-8.584263, 41.163156], [-8.603586, 41.171562], [-8.622918, 41.173443], [-8.639154, 41.169465], [-8.640729, 41.148756]]"
1372639135620000570,A,33180.0,,20000570,1372639135,A,False,"[[-8.666757, 41.174055]]"
